tau	mass_g	g_massdensity
0.5	1.005310e-18	1.383206e-12
0.5	1.038312e-18	1.427962e-12
0.5	1.072398e-18	1.474145e-12
0.5	1.107603e-18	1.521798e-12
0.5	1.143963e-18	1.570966e-12
0.5	1.181517e-18	1.621697e-12
0.5	1.220304e-18	1.674037e-12
0.5	1.260365e-18	1.728036e-12
0.5	1.301740e-18	1.783744e-12
0.5	1.344474e-18	1.841214e-12
0.5	1.388610e-18	1.900499e-12
0.5	1.434196e-18	1.961654e-12
0.5	1.481278e-18	2.024735e-12
0.5	1.529905e-18	2.089800e-12
0.5	1.580129e-18	2.156909e-12
0.5	1.632002e-18	2.226122e-12
0.5	1.685578e-18	2.297503e-12
0.5	1.740912e-18	2.371115e-12
0.5	1.798063e-18	2.447025e-12
0.5	1.857090e-18	2.525300e-12
0.5	1.918055e-18	2.606009e-12
0.5	1.981021e-18	2.689224e-12
0.5	2.046054e-18	2.775018e-12
0.5	2.113222e-18	2.863465e-12
0.5	2.182595e-18	2.954642e-12
0.5	2.254246e-18	3.048627e-12
0.5	2.328248e-18	3.145500e-12
0.5	2.404680e-18	3.245344e-12
0.5	2.483622e-18	3.348242e-12
0.5	2.565154e-18	3.454280e-12
0.5	2.649363e-18	3.563546e-12
0.5	2.736337e-18	3.676130e-12
0.5	2.826166e-18	3.792123e-12
0.5	2.918944e-18	3.911618e-12
0.5	3.014767e-18	4.034711e-12
0.5	3.113736e-18	4.161500e-12
0.5	3.215954e-18	4.292083e-12
0.5	3.321528e-18	4.426561e-12
0.5	3.430568e-18	4.565037e-12
0.5	3.543187e-18	4.707616e-12
0.5	3.659503e-18	4.854405e-12
0.5	3.779638e-18	5.005511e-12
0.5	3.903716e-18	5.161045e-12
0.5	4.031868e-18	5.321117e-12
0.5	4.164226e-18	5.485842e-12
0.5	4.300930e-18	5.655333e-12
0.5	4.442121e-18	5.829707e-12
0.5	4.587948e-18	6.009081e-12
0.5	4.738562e-18	6.193574e-12
0.5	4.894120e-18	6.383305e-12
0.5	5.054785e-18	6.578396e-12
0.5	5.220724e-18	6.778968e-12
0.5	5.392110e-18	6.985143e-12
0.5	5.569123e-18	7.197044e-12
0.5	5.751947e-18	7.414795e-12
0.5	5.940773e-18	7.638519e-12
0.5	6.135797e-18	7.868340e-12
0.5	6.337224e-18	8.104381e-12
0.5	6.545263e-18	8.346766e-12
0.5	6.760132e-18	8.595615e-12
0.5	6.982054e-18	8.851052e-12
0.5	7.211262e-18	9.113195e-12
0.5	7.447994e-18	9.382162e-12
0.5	7.692498e-18	9.658072e-12
0.5	7.945028e-18	9.941037e-12
0.5	8.205849e-18	1.023117e-11
0.5	8.475231e-18	1.052858e-11
0.5	8.753457e-18	1.083336e-11
0.5	9.040817e-18	1.114563e-11
0.5	9.337610e-18	1.146548e-11
0.5	9.644146e-18	1.179300e-11
0.5	9.960745e-18	1.212827e-11
0.5	1.028774e-17	1.247138e-11
0.5	1.062547e-17	1.282239e-11
0.5	1.097428e-17	1.318138e-11
0.5	1.133454e-17	1.354841e-11
0.5	1.170664e-17	1.392351e-11
0.5	1.209094e-17	1.430674e-11
0.5	1.248787e-17	1.469812e-11
0.5	1.289782e-17	1.509766e-11
0.5	1.332123e-17	1.550539e-11
0.5	1.375854e-17	1.592129e-11
0.5	1.421021e-17	1.634534e-11
0.5	1.467670e-17	1.677752e-11
0.5	1.515851e-17	1.721776e-11
0.5	1.565614e-17	1.766601e-11
0.5	1.617010e-17	1.812219e-11
0.5	1.670093e-17	1.858620e-11
0.5	1.724919e-17	1.905791e-11
0.5	1.781545e-17	1.953719e-11
0.5	1.840030e-17	2.002388e-11
0.5	1.900435e-17	2.051779e-11
0.5	1.962822e-17	2.101872e-11
0.5	2.027258e-17	2.152644e-11
0.5	2.093809e-17	2.204069e-11
0.5	2.162545e-17	2.256120e-11
0.5	2.233537e-17	2.308764e-11
0.5	2.306860e-17	2.361970e-11
0.5	2.382590e-17	2.415699e-11
0.5	2.460806e-17	2.469912e-11
0.5	2.541590e-17	2.524566e-11
0.5	2.625025e-17	2.579616e-11
0.5	2.711200e-17	2.635011e-11
0.5	2.800204e-17	2.690701e-11
0.5	2.892129e-17	2.746627e-11
0.5	2.987072e-17	2.802733e-11
0.5	3.085132e-17	2.858954e-11
0.5	3.186411e-17	2.915224e-11
0.5	3.291015e-17	2.971475e-11
0.5	3.399053e-17	3.027632e-11
0.5	3.510638e-17	3.083620e-11
0.5	3.625885e-17	3.139358e-11
0.5	3.744916e-17	3.194764e-11
0.5	3.867855e-17	3.249751e-11
0.5	3.994829e-17	3.304229e-11
0.5	4.125972e-17	3.358107e-11
0.5	4.261420e-17	3.411289e-11
0.5	4.401315e-17	3.463678e-11
0.5	4.545802e-17	3.515173e-11
0.5	4.695032e-17	3.565672e-11
0.5	4.849161e-17	3.615071e-11
0.5	5.008350e-17	3.663264e-11
0.5	5.172764e-17	3.710145e-11
0.5	5.342577e-17	3.755604e-11
0.5	5.517963e-17	3.799533e-11
0.5	5.699108e-17	3.841825e-11
0.5	5.886199e-17	3.882369e-11
0.5	6.079432e-17	3.921060e-11
0.5	6.279008e-17	3.957791e-11
0.5	6.485136e-17	3.992456e-11
0.5	6.698031e-17	4.024953e-11
0.5	6.917915e-17	4.055184e-11
0.5	7.145017e-17	4.083052e-11
0.5	7.379574e-17	4.108463e-11
0.5	7.621832e-17	4.131332e-11
0.5	7.872042e-17	4.151573e-11
0.5	8.130467e-17	4.169111e-11
0.5	8.397375e-17	4.183874e-11
0.5	8.673045e-17	4.195798e-11
0.5	8.957765e-17	4.204824e-11
0.5	9.251831e-17	4.210902e-11
0.5	9.555552e-17	4.213992e-11
0.5	9.869242e-17	4.214059e-11
0.5	1.019323e-16	4.211078e-11
0.5	1.052786e-16	4.205034e-11
0.5	1.087347e-16	4.195920e-11
0.5	1.123042e-16	4.183740e-11
0.5	1.159909e-16	4.168505e-11
0.5	1.197987e-16	4.150238e-11
0.5	1.237315e-16	4.128970e-11
0.5	1.277934e-16	4.104744e-11
0.5	1.319886e-16	4.077609e-11
0.5	1.363215e-16	4.047624e-11
0.5	1.407967e-16	4.014858e-11
0.5	1.454188e-16	3.979387e-11
0.5	1.501926e-16	3.941296e-11
0.5	1.551231e-16	3.900675e-11
0.5	1.602155e-16	3.857622e-11
0.5	1.654751e-16	3.812242e-11
0.5	1.709074e-16	3.764644e-11
0.5	1.765179e-16	3.714941e-11
0.5	1.823127e-16	3.663251e-11
0.5	1.882977e-16	3.609695e-11
0.5	1.944791e-16	3.554396e-11
0.5	2.008635e-16	3.497477e-11
0.5	2.074575e-16	3.439065e-11
0.5	2.142679e-16	3.379283e-11
0.5	2.213019e-16	3.318257e-11
0.5	2.285669e-16	3.256110e-11
0.5	2.360703e-16	3.192962e-11
0.5	2.438200e-16	3.128933e-11
0.5	2.518242e-16	3.064138e-11
0.5	2.600911e-16	2.998689e-11
0.5	2.686294e-16	2.932697e-11
0.5	2.774480e-16	2.866264e-11
0.5	2.865561e-16	2.799492e-11
0.5	2.959632e-16	2.732478e-11
0.5	3.056791e-16	2.665312e-11
0.5	3.157140e-16	2.598084e-11
0.5	3.260783e-16	2.530875e-11
0.5	3.367828e-16	2.463765e-11
0.5	3.478388e-16	2.396829e-11
0.5	3.592577e-16	2.330137e-11
0.5	3.710514e-16	2.263756e-11
0.5	3.832324e-16	2.197749e-11
0.5	3.958132e-16	2.132176e-11
0.5	4.088070e-16	2.067093e-11
0.5	4.222273e-16	2.002555e-11
0.5	4.360883e-16	1.938610e-11
0.5	4.504042e-16	1.875309e-11
0.5	4.651902e-16	1.812695e-11
0.5	4.804615e-16	1.750812e-11
0.5	4.962341e-16	1.689702e-11
0.5	5.125246e-16	1.629403e-11
0.5	5.293498e-16	1.569953e-11
0.5	5.467273e-16	1.511388e-11
0.5	5.646754e-16	1.453742e-11
0.5	5.832126e-16	1.397046e-11
0.5	6.023584e-16	1.341333e-11
0.5	6.221327e-16	1.286632e-11
0.5	6.425561e-16	1.232971e-11
0.5	6.636500e-16	1.180376e-11
0.5	6.854364e-16	1.128873e-11
0.5	7.079380e-16	1.078486e-11
0.5	7.311783e-16	1.029238e-11
0.5	7.551815e-16	9.811498e-12
0.5	7.799727e-16	9.342410e-12
0.5	8.055778e-16	8.885298e-12
0.5	8.320234e-16	8.440332e-12
0.5	8.593371e-16	8.007661e-12
0.5	8.875476e-16	7.587421e-12
0.5	9.166841e-16	7.179730e-12
0.5	9.467771e-16	6.784689e-12
0.5	9.778580e-16	6.402382e-12
0.5	1.009959e-15	6.032873e-12
0.5	1.043114e-15	5.676208e-12
0.5	1.077358e-15	5.332413e-12
0.5	1.112725e-15	5.001493e-12
0.5	1.149254e-15	4.683434e-12
0.5	1.186982e-15	4.378202e-12
0.5	1.225948e-15	4.085738e-12
0.5	1.266194e-15	3.805964e-12
0.5	1.307761e-15	3.538781e-12
0.5	1.350692e-15	3.284065e-12
0.5	1.395033e-15	3.041674e-12
0.5	1.440829e-15	2.811440e-12
0.5	1.488129e-15	2.593177e-12
0.5	1.536981e-15	2.386675e-12
0.5	1.587438e-15	2.191704e-12
0.5	1.639550e-15	2.008015e-12
0.5	1.693373e-15	1.835339e-12
0.5	1.748964e-15	1.673385e-12
0.5	1.806379e-15	1.521850e-12
0.5	1.865679e-15	1.380411e-12
0.5	1.926926e-15	1.248730e-12
0.5	1.990183e-15	1.126456e-12
0.5	2.055517e-15	1.013226e-12
0.5	2.122996e-15	9.086654e-13
0.5	2.192690e-15	8.123912e-13
0.5	2.264672e-15	7.240133e-13
0.5	2.339017e-15	6.431366e-13
0.5	2.415802e-15	5.693625e-13
0.5	2.495108e-15	5.022913e-13
0.5	2.577018e-15	4.415237e-13
0.5	2.661617e-15	3.866634e-13
0.5	2.748993e-15	3.373182e-13
0.5	2.839237e-15	2.931027e-13
0.5	2.932444e-15	2.536394e-13
0.5	3.028711e-15	2.185608e-13
0.5	3.128137e-15	1.875109e-13
0.5	3.230828e-15	1.601464e-13
0.5	3.336890e-15	1.361382e-13
0.5	3.446434e-15	1.151726e-13
0.5	3.559574e-15	9.695176e-14
0.5	3.676428e-15	8.119498e-14
0.5	3.797119e-15	6.763890e-14
0.5	3.921771e-15	5.603795e-14
0.5	4.050515e-15	4.616453e-14
0.5	4.183486e-15	3.780894e-14
0.5	4.320822e-15	3.077921e-14
0.5	4.462667e-15	2.490068e-14
0.5	4.609168e-15	2.001553e-14
0.5	4.760478e-15	1.598209e-14
0.5	4.916755e-15	1.267407e-14
0.5	5.078163e-15	9.979679e-15
0.5	5.244870e-15	7.800712e-15
0.5	5.417049e-15	6.051523e-15
0.5	5.594881e-15	4.658008e-15
0.5	5.778550e-15	3.556556e-15
0.5	5.968249e-15	2.693009e-15
0.5	6.164176e-15	2.021651e-15
0.5	6.366534e-15	1.504223e-15
0.5	6.575535e-15	1.108993e-15
0.5	6.791398e-15	8.098897e-16
0.5	7.014347e-15	5.856899e-16
0.5	7.244615e-15	4.192905e-16
0.5	7.482442e-15	2.970459e-16
0.5	7.728076e-15	2.081827e-16
0.5	7.981774e-15	1.442860e-16
0.5	8.243801e-15	9.885613e-17
0.5	8.514430e-15	6.692970e-17
0.5	8.793942e-15	4.476107e-17
0.5	9.082631e-15	2.955789e-17
0.5	9.380797e-15	1.926447e-17
0.5	9.688751e-15	1.238696e-17
0.5	1.000681e-14	7.854230e-18
0.5	1.033532e-14	4.908790e-18
0.5	1.067461e-14	3.022537e-18
0.5	1.102504e-14	1.832664e-18
0.5	1.138697e-14	1.093676e-18
0.5	1.176078e-14	6.420402e-19
0.5	1.214686e-14	3.705695e-19
0.5	1.254562e-14	2.101693e-19
0.5	1.295747e-14	1.170608e-19
0.5	1.338284e-14	6.399382e-20
0.5	1.382218e-14	3.431492e-20
0.5	1.427593e-14	1.803728e-20
0.5	1.474458e-14	9.287910e-21
0.5	1.522862e-14	4.681991e-21
0.5	1.572855e-14	2.308903e-21
0.5	1.624489e-14	1.113090e-21
0.5	1.677818e-14	5.241803e-22
0.5	1.732897e-14	2.409481e-22
0.5	1.789785e-14	1.080223e-22
0.5	1.848540e-14	4.719486e-23
0.5	1.909224e-14	2.007700e-23
0.5	1.971901e-14	8.308953e-24
0.5	2.036634e-14	3.342292e-24
0.5	2.103493e-14	1.305532e-24
0.5	2.172547e-14	4.947179e-25
0.5	2.243868e-14	1.816862e-25
0.5	2.317530e-14	6.460017e-26
0.5	2.393610e-14	2.221426e-26
0.5	2.472188e-14	7.379720e-27
0.5	2.553345e-14	2.365733e-27
0.5	2.637166e-14	7.309730e-28
0.5	2.723740e-14	2.174311e-28
0.5	2.813155e-14	6.218484e-29
0.5	2.905505e-14	1.707773e-29
0.5	3.000888e-14	4.497592e-30
0.5	3.099401e-14	1.134324e-30
0.5	3.201149e-14	2.735800e-31
0.5	3.306237e-14	6.300637e-32
0.5	3.414774e-14	1.383501e-32
0.5	3.526875e-14	2.891945e-33
0.5	3.642655e-14	5.745312e-34
0.5	3.762237e-14	1.082992e-34
0.5	3.885744e-14	1.933645e-35
0.5	4.013306e-14	3.264328e-36
0.5	4.145055e-14	5.200894e-37
0.5	4.281130e-14	7.805565e-38
0.5	4.421671e-14	1.101338e-38
0.5	4.566826e-14	1.457964e-39
0.5	4.716747e-14	1.807065e-40
0.5	4.871588e-14	2.092487e-41
0.5	5.031514e-14	2.258624e-42
0.5	5.196689e-14	2.267338e-43
0.5	5.367286e-14	2.111761e-44
0.5	5.543484e-14	1.820379e-45
0.5	5.725466e-14	1.448650e-46
0.5	5.913423e-14	1.061476e-47
0.5	6.107549e-14	7.142084e-49
0.5	6.308049e-14	4.400401e-50
0.5	6.515130e-14	2.475463e-51
0.5	6.729010e-14	1.267712e-52
0.5	6.949910e-14	5.891769e-54
0.5	7.178063e-14	2.477125e-55
0.5	7.413705e-14	9.390720e-57
0.5	7.657083e-14	3.199062e-58
0.5	7.908451e-14	9.758777e-60
0.5	8.168071e-14	2.656090e-61
0.5	8.436213e-14	6.425975e-63
0.5	8.713158e-14	1.376591e-64
0.5	8.999195e-14	2.600796e-66
0.5	9.294622e-14	4.315706e-68
0.5	9.599747e-14	6.263131e-70
0.5	9.914888e-14	7.914336e-72
0.5	1.024038e-13	8.668565e-74
0.5	1.057655e-13	8.191275e-76
0.5	1.092376e-13	6.645415e-78
0.5	1.128236e-13	4.605584e-80
0.5	1.165274e-13	2.712649e-82
0.5	1.203528e-13	1.350608e-84
0.5	1.243037e-13	5.653227e-87
0.5	1.283844e-13	1.977974e-89
0.5	1.325990e-13	5.751041e-92
0.5	1.369520e-13	1.381130e-94
0.5	1.414479e-13	2.722446e-97
0.5	1.460913e-13	4.376277e-100
0.5	1.508873e-13	5.698538e-103
0.5	1.558406e-13	5.969415e-106
0.5	1.609566e-13	4.994683e-109
0.5	1.662405e-13	3.313508e-112
0.5	1.716978e-13	1.729670e-115
0.5	1.773343e-13	7.048814e-119
0.5	1.831559e-13	2.224419e-122
0.5	1.891686e-13	5.390378e-126
0.5	1.953786e-13	9.943945e-130
0.5	2.017925e-13	1.384032e-133
0.5	2.084170e-13	1.440008e-137
0.5	2.152589e-13	1.109344e-141
0.5	2.223255e-13	6.265652e-146
0.5	2.296240e-13	2.568261e-150
0.5	2.371621e-13	7.559870e-155
0.5	2.449477e-13	1.580780e-159
0.5	2.529889e-13	2.321852e-164
0.5	2.612940e-13	2.367928e-169
0.5	2.698718e-13	1.656807e-174
0.5	2.787312e-13	7.855495e-180
0.5	2.878814e-13	2.491868e-185
0.5	2.973321e-13	5.219110e-191
0.5	3.070929e-13	7.119826e-197
0.5	3.171742e-13	6.237799e-203
0.5	3.275864e-13	3.459148e-209
0.5	3.383405e-13	1.196086e-215
0.5	3.494476e-13	2.539080e-222
0.5	3.609193e-13	3.256535e-229
0.5	3.727676e-13	2.482084e-236
0.5	3.850048e-13	1.105194e-243
0.5	3.976438e-13	2.824614e-251
0.5	4.106977e-13	4.068768e-259
0.5	4.241802e-13	3.241718e-267
0.5	4.381052e-13	1.401048e-275
0.5	4.524874e-13	3.219408e-284
0.5	4.673417e-13	3.852456e-293
0.5	4.826836e-13	2.349826e-302
0.5	4.985292e-13	7.145991e-312
0.5	5.148950e-13	1.057300e-321
0.5	5.317981e-13	0.000000e+00
0.5	5.492560e-13	0.000000e+00
0.5	5.672870e-13	0.000000e+00
0.5	5.859100e-13	0.000000e+00
0.5	6.051443e-13	0.000000e+00
0.5	6.250101e-13	0.000000e+00
0.5	6.455280e-13	0.000000e+00
0.5	6.667195e-13	0.000000e+00
0.5	6.886066e-13	0.000000e+00
0.5	7.112123e-13	0.000000e+00
0.5	7.345601e-13	0.000000e+00
0.5	7.586743e-13	0.000000e+00
0.5	7.835801e-13	0.000000e+00
0.5	8.093036e-13	0.000000e+00
0.5	8.358715e-13	0.000000e+00
0.5	8.633116e-13	0.000000e+00
0.5	8.916525e-13	0.000000e+00
0.5	9.209238e-13	0.000000e+00
0.5	9.511560e-13	0.000000e+00
0.5	9.823807e-13	0.000000e+00
0.5	1.014630e-12	0.000000e+00
0.5	1.047939e-12	0.000000e+00
0.5	1.082341e-12	0.000000e+00
0.5	1.117872e-12	0.000000e+00
0.5	1.154570e-12	0.000000e+00
0.5	1.192472e-12	0.000000e+00
0.5	1.231618e-12	0.000000e+00
0.5	1.272050e-12	0.000000e+00
0.5	1.313809e-12	0.000000e+00
0.5	1.356939e-12	0.000000e+00
0.5	1.401485e-12	0.000000e+00
0.5	1.447493e-12	0.000000e+00
0.5	1.495012e-12	0.000000e+00
0.5	1.544090e-12	0.000000e+00
0.5	1.594780e-12	0.000000e+00
0.5	1.647133e-12	0.000000e+00
0.5	1.701205e-12	0.000000e+00
0.5	1.757053e-12	0.000000e+00
0.5	1.814734e-12	0.000000e+00
0.5	1.874308e-12	0.000000e+00
0.5	1.935838e-12	0.000000e+00
0.5	1.999388e-12	0.000000e+00
0.5	2.065024e-12	0.000000e+00
0.5	2.132815e-12	0.000000e+00
0.5	2.202831e-12	0.000000e+00
0.5	2.275146e-12	0.000000e+00
0.5	2.349835e-12	0.000000e+00
0.5	2.426975e-12	0.000000e+00
0.5	2.506648e-12	0.000000e+00
0.5	2.588937e-12	0.000000e+00
0.5	2.673927e-12	0.000000e+00
0.5	2.761707e-12	0.000000e+00
0.5	2.852369e-12	0.000000e+00
0.5	2.946007e-12	0.000000e+00
0.5	3.042718e-12	0.000000e+00
0.5	3.142605e-12	0.000000e+00
0.5	3.245771e-12	0.000000e+00
0.5	3.352324e-12	0.000000e+00
0.5	3.462374e-12	0.000000e+00
0.5	3.576037e-12	0.000000e+00
0.5	3.693432e-12	0.000000e+00
0.5	3.814680e-12	0.000000e+00
0.5	3.939909e-12	0.000000e+00
0.5	4.069249e-12	0.000000e+00
0.5	4.202835e-12	0.000000e+00
0.5	4.340806e-12	0.000000e+00
0.5	4.483307e-12	0.000000e+00
0.5	4.630485e-12	0.000000e+00
0.5	4.782495e-12	0.000000e+00
0.5	4.939496e-12	0.000000e+00
0.5	5.101650e-12	0.000000e+00
0.5	5.269128e-12	0.000000e+00
0.5	5.442103e-12	0.000000e+00
0.5	5.620757e-12	0.000000e+00
0.5	5.805276e-12	0.000000e+00
0.5	5.995853e-12	0.000000e+00
0.5	6.192685e-12	0.000000e+00
0.5	6.395980e-12	0.000000e+00
0.5	6.605948e-12	0.000000e+00
0.5	6.822808e-12	0.000000e+00
0.5	7.046788e-12	0.000000e+00
0.5	7.278121e-12	0.000000e+00
0.5	7.517048e-12	0.000000e+00
0.5	7.763819e-12	0.000000e+00
0.5	8.018691e-12	0.000000e+00
0.5	8.281929e-12	0.000000e+00
0.5	8.553809e-12	0.000000e+00
0.5	8.834615e-12	0.000000e+00
0.5	9.124639e-12	0.000000e+00
0.5	9.424184e-12	0.000000e+00
0.5	9.733562e-12	0.000000e+00
0.5	1.005310e-11	0.000000e+00
1.0	1.005310e-18	8.369669e-13
1.0	1.038312e-18	8.639817e-13
1.0	1.072398e-18	8.918530e-13
1.0	1.107603e-18	9.206067e-13
1.0	1.143963e-18	9.502698e-13
1.0	1.181517e-18	9.808699e-13
1.0	1.220304e-18	1.012435e-12
1.0	1.260365e-18	1.044995e-12
1.0	1.301740e-18	1.078579e-12
1.0	1.344474e-18	1.113218e-12
1.0	1.388610e-18	1.148944e-12
1.0	1.434196e-18	1.185788e-12
1.0	1.481278e-18	1.223785e-12
1.0	1.529905e-18	1.262968e-12
1.0	1.580129e-18	1.303372e-12
1.0	1.632002e-18	1.345033e-12
1.0	1.685578e-18	1.387988e-12
1.0	1.740912e-18	1.432274e-12
1.0	1.798063e-18	1.477930e-12
1.0	1.857090e-18	1.524996e-12
1.0	1.918055e-18	1.573512e-12
1.0	1.981021e-18	1.623520e-12
1.0	2.046054e-18	1.675061e-12
1.0	2.113222e-18	1.728180e-12
1.0	2.182595e-18	1.782920e-12
1.0	2.254246e-18	1.839327e-12
1.0	2.328248e-18	1.897448e-12
1.0	2.404680e-18	1.957330e-12
1.0	2.483622e-18	2.019020e-12
1.0	2.565154e-18	2.082569e-12
1.0	2.649363e-18	2.148027e-12
1.0	2.736337e-18	2.215445e-12
1.0	2.826166e-18	2.284875e-12
1.0	2.918944e-18	2.356370e-12
1.0	3.014767e-18	2.429985e-12
1.0	3.113736e-18	2.505775e-12
1.0	3.215954e-18	2.583796e-12
1.0	3.321528e-18	2.664105e-12
1.0	3.430568e-18	2.746759e-12
1.0	3.543187e-18	2.831817e-12
1.0	3.659503e-18	2.919339e-12
1.0	3.779638e-18	3.009385e-12
1.0	3.903716e-18	3.102015e-12
1.0	4.031868e-18	3.197291e-12
1.0	4.164226e-18	3.295275e-12
1.0	4.300930e-18	3.396031e-12
1.0	4.442121e-18	3.499620e-12
1.0	4.587948e-18	3.606108e-12
1.0	4.738562e-18	3.715556e-12
1.0	4.894120e-18	3.828031e-12
1.0	5.054785e-18	3.943596e-12
1.0	5.220724e-18	4.062315e-12
1.0	5.392110e-18	4.184253e-12
1.0	5.569123e-18	4.309474e-12
1.0	5.751947e-18	4.438042e-12
1.0	5.940773e-18	4.570020e-12
1.0	6.135797e-18	4.705470e-12
1.0	6.337224e-18	4.844455e-12
1.0	6.545263e-18	4.987037e-12
1.0	6.760132e-18	5.133274e-12
1.0	6.982054e-18	5.283226e-12
1.0	7.211262e-18	5.436950e-12
1.0	7.447994e-18	5.594501e-12
1.0	7.692498e-18	5.755932e-12
1.0	7.945028e-18	5.921297e-12
1.0	8.205849e-18	6.090642e-12
1.0	8.475231e-18	6.264014e-12
1.0	8.753457e-18	6.441457e-12
1.0	9.040817e-18	6.623011e-12
1.0	9.337610e-18	6.808712e-12
1.0	9.644146e-18	6.998591e-12
1.0	9.960745e-18	7.192678e-12
1.0	1.028774e-17	7.390996e-12
1.0	1.062547e-17	7.593563e-12
1.0	1.097428e-17	7.800392e-12
1.0	1.133454e-17	8.011492e-12
1.0	1.170664e-17	8.226861e-12
1.0	1.209094e-17	8.446497e-12
1.0	1.248787e-17	8.670384e-12
1.0	1.289782e-17	8.898504e-12
1.0	1.332123e-17	9.130829e-12
1.0	1.375854e-17	9.367321e-12
1.0	1.421021e-17	9.607936e-12
1.0	1.467670e-17	9.852618e-12
1.0	1.515851e-17	1.010130e-11
1.0	1.565614e-17	1.035391e-11
1.0	1.617010e-17	1.061036e-11
1.0	1.670093e-17	1.087056e-11
1.0	1.724919e-17	1.113439e-11
1.0	1.781545e-17	1.140173e-11
1.0	1.840030e-17	1.167244e-11
1.0	1.900435e-17	1.194639e-11
1.0	1.962822e-17	1.222340e-11
1.0	2.027258e-17	1.250330e-11
1.0	2.093809e-17	1.278589e-11
1.0	2.162545e-17	1.307098e-11
1.0	2.233537e-17	1.335834e-11
1.0	2.306860e-17	1.364773e-11
1.0	2.382590e-17	1.393890e-11
1.0	2.460806e-17	1.423158e-11
1.0	2.541590e-17	1.452549e-11
1.0	2.625025e-17	1.482031e-11
1.0	2.711200e-17	1.511574e-11
1.0	2.800204e-17	1.541143e-11
1.0	2.892129e-17	1.570704e-11
1.0	2.987072e-17	1.600220e-11
1.0	3.085132e-17	1.629651e-11
1.0	3.186411e-17	1.658959e-11
1.0	3.291015e-17	1.688102e-11
1.0	3.399053e-17	1.717037e-11
1.0	3.510638e-17	1.745720e-11
1.0	3.625885e-17	1.774105e-11
1.0	3.744916e-17	1.802145e-11
1.0	3.867855e-17	1.829794e-11
1.0	3.994829e-17	1.857001e-11
1.0	4.125972e-17	1.883717e-11
1.0	4.261420e-17	1.909893e-11
1.0	4.401315e-17	1.935478e-11
1.0	4.545802e-17	1.960419e-11
1.0	4.695032e-17	1.984668e-11
1.0	4.849161e-17	2.008171e-11
1.0	5.008350e-17	2.030878e-11
1.0	5.172764e-17	2.052740e-11
1.0	5.342577e-17	2.073705e-11
1.0	5.517963e-17	2.093727e-11
1.0	5.699108e-17	2.112756e-11
1.0	5.886199e-17	2.130748e-11
1.0	6.079432e-17	2.147657e-11
1.0	6.279008e-17	2.163442e-11
1.0	6.485136e-17	2.178063e-11
1.0	6.698031e-17	2.191482e-11
1.0	6.917915e-17	2.203664e-11
1.0	7.145017e-17	2.214578e-11
1.0	7.379574e-17	2.224195e-11
1.0	7.621832e-17	2.232490e-11
1.0	7.872042e-17	2.239441e-11
1.0	8.130467e-17	2.245032e-11
1.0	8.397375e-17	2.249247e-11
1.0	8.673045e-17	2.252079e-11
1.0	8.957765e-17	2.253520e-11
1.0	9.251831e-17	2.253572e-11
1.0	9.555552e-17	2.252236e-11
1.0	9.869242e-17	2.249520e-11
1.0	1.019323e-16	2.245438e-11
1.0	1.052786e-16	2.240004e-11
1.0	1.087347e-16	2.233241e-11
1.0	1.123042e-16	2.225172e-11
1.0	1.159909e-16	2.215826e-11
