ratio	nbins	tau	mass_g	g_massdensity
2.0	20	0.5	1.570796e-18	1.549119e-10
2.0	20	0.5	3.141593e-18	2.458038e-10
2.0	20	0.5	6.283185e-18	3.233018e-10
2.0	20	0.5	1.256637e-17	3.176250e-10
2.0	20	0.5	2.513274e-17	2.137309e-10
2.0	20	0.5	5.026548e-17	9.989561e-11
2.0	20	0.5	1.005310e-16	3.469349e-11
2.0	20	0.5	2.010619e-16	8.802324e-12
2.0	20	0.5	4.021239e-16	1.614391e-12
2.0	20	0.5	8.042477e-16	2.185196e-13
2.0	20	0.5	1.608495e-15	2.285528e-14
2.0	20	0.5	3.216991e-15	1.943885e-15
2.0	20	0.5	6.433982e-15	1.401482e-16
2.0	20	0.5	1.286796e-14	8.819602e-18
2.0	20	0.5	2.573593e-14	4.942615e-19
2.0	20	0.5	5.147185e-14	2.501939e-20
2.0	20	0.5	1.029437e-13	1.156161e-21
2.0	20	0.5	2.058874e-13	4.918142e-23
2.0	20	0.5	4.117748e-13	1.939010e-24
2.0	20	0.5	8.235497e-13	7.379333e-26
2.0	20	1.0	1.570796e-18	9.064052e-11
2.0	20	1.0	3.141593e-18	1.398336e-10
2.0	20	1.0	6.283185e-18	1.777828e-10
2.0	20	1.0	1.256637e-17	1.727646e-10
2.0	20	1.0	2.513274e-17	1.267633e-10
2.0	20	1.0	5.026548e-17	7.622879e-11
2.0	20	1.0	1.005310e-16	3.968731e-11
2.0	20	1.0	2.010619e-16	1.758049e-11
2.0	20	1.0	4.021239e-16	6.416515e-12
2.0	20	1.0	8.042477e-16	1.875375e-12
2.0	20	1.0	1.608495e-15	4.334275e-13
2.0	20	1.0	3.216991e-15	7.992474e-14
2.0	20	1.0	6.433982e-15	1.207683e-14
2.0	20	1.0	1.286796e-14	1.546082e-15
2.0	20	1.0	2.573593e-14	1.728254e-16
2.0	20	1.0	5.147185e-14	1.725714e-17
2.0	20	1.0	1.029437e-13	1.564061e-18
2.0	20	1.0	2.058874e-13	1.301159e-19
2.0	20	1.0	4.117748e-13	1.001756e-20
2.0	20	1.0	8.235497e-13	7.697430e-22
2.0	20	2.0	1.570796e-18	3.223834e-11
2.0	20	2.0	3.141593e-18	4.837637e-11
2.0	20	2.0	6.283185e-18	5.939797e-11
2.0	20	2.0	1.256637e-17	5.654492e-11
2.0	20	2.0	2.513274e-17	4.318386e-11
2.0	20	2.0	5.026548e-17	2.947445e-11
2.0	20	2.0	1.005310e-16	1.902066e-11
2.0	20	2.0	2.010619e-16	1.168211e-11
2.0	20	2.0	4.021239e-16	6.778102e-12
2.0	20	2.0	8.042477e-16	3.659049e-12
2.0	20	2.0	1.608495e-15	1.799546e-12
2.0	20	2.0	3.216991e-15	7.867685e-13
2.0	20	2.0	6.433982e-15	2.985255e-13
2.0	20	2.0	1.286796e-14	9.652792e-14
2.0	20	2.0	2.573593e-14	2.640101e-14
2.0	20	2.0	5.147185e-14	6.140230e-15
2.0	20	2.0	1.029437e-13	1.233631e-15
2.0	20	2.0	2.058874e-13	2.186118e-16
2.0	20	2.0	4.117748e-13	3.487807e-17
2.0	20	2.0	8.235497e-13	5.884801e-18
1.3	53	0.5	1.570796e-18	1.318083e-10
1.3	53	0.5	2.042035e-18	1.616967e-10
1.3	53	0.5	2.654646e-18	1.950344e-10
1.3	53	0.5	3.451040e-18	2.308761e-10
1.3	53	0.5	4.486351e-18	2.666674e-10
1.3	53	0.5	5.832257e-18	2.988698e-10
1.3	53	0.5	7.581934e-18	3.233296e-10
1.3	53	0.5	9.856514e-18	3.353850e-10
1.3	53	0.5	1.281347e-17	3.321007e-10
1.3	53	0.5	1.665751e-17	3.129903e-10
1.3	53	0.5	2.165476e-17	2.806130e-10
1.3	53	0.5	2.815119e-17	2.397337e-10
1.3	53	0.5	3.659655e-17	1.955850e-10
1.3	53	0.5	4.757551e-17	1.524082e-10
1.3	53	0.5	6.184816e-17	1.130373e-10
1.3	53	0.5	8.040261e-17	7.920405e-11
1.3	53	0.5	1.045234e-16	5.187195e-11
1.3	53	0.5	1.358804e-16	3.133079e-11
1.3	53	0.5	1.766445e-16	1.718294e-11
1.3	53	0.5	2.296379e-16	8.410186e-12
1.3	53	0.5	2.985293e-16	3.607728e-12
1.3	53	0.5	3.880881e-16	1.332962e-12
1.3	53	0.5	5.045145e-16	4.181029e-13
1.3	53	0.5	6.558688e-16	1.103940e-13
1.3	53	0.5	8.526295e-16	2.454988e-14
1.3	53	0.5	1.108418e-15	4.650706e-15
1.3	53	0.5	1.440944e-15	7.660695e-16
1.3	53	0.5	1.873227e-15	1.124204e-16
1.3	53	0.5	2.435195e-15	1.501831e-17
1.3	53	0.5	3.165753e-15	1.854821e-18
1.3	53	0.5	4.115480e-15	2.138709e-19
1.3	53	0.5	5.350123e-15	2.316932e-20
1.3	53	0.5	6.955160e-15	2.368943e-21
1.3	53	0.5	9.041709e-15	2.294312e-22
1.3	53	0.5	1.175422e-14	2.111320e-23
1.3	53	0.5	1.528049e-14	1.851167e-24
1.3	53	0.5	1.986463e-14	1.550193e-25
1.3	53	0.5	2.582402e-14	1.242592e-26
1.3	53	0.5	3.357123e-14	9.552988e-28
1.3	53	0.5	4.364260e-14	7.056805e-29
1.3	53	0.5	5.673538e-14	5.017183e-30
1.3	53	0.5	7.375599e-14	3.438450e-31
1.3	53	0.5	9.588279e-14	2.274753e-32
1.3	53	0.5	1.246476e-13	1.454614e-33
1.3	53	0.5	1.620419e-13	9.001948e-35
1.3	53	0.5	2.106545e-13	5.397563e-36
1.3	53	0.5	2.738508e-13	3.139031e-37
1.3	53	0.5	3.560061e-13	1.772410e-38
1.3	53	0.5	4.628079e-13	9.725447e-40
1.3	53	0.5	6.016503e-13	5.190541e-41
1.3	53	0.5	7.821454e-13	2.696684e-42
1.3	53	0.5	1.016789e-12	1.364886e-43
1.3	53	0.5	1.321826e-12	7.074989e-45
1.3	53	1.0	1.570796e-18	7.765732e-11
1.3	53	1.0	2.042035e-18	9.441284e-11
1.3	53	1.0	2.654646e-18	1.125843e-10
1.3	53	1.0	3.451040e-18	1.315991e-10
