dimless_t	mass_g	nemo_norm	dustpy_norm	exact_norm
0.01	1.570796e-18	9.415963e-03	9.485795e-03	9.483394e-03
0.01	3.141593e-18	3.298889e-02	3.344041e-02	3.344245e-02
0.01	6.283185e-18	1.014866e-01	1.039156e-01	1.040182e-01
0.01	1.256637e-17	2.424240e-01	2.513552e-01	2.520462e-01
0.01	2.513274e-17	3.583172e-01	3.713767e-01	3.727173e-01
0.01	5.026548e-17	2.220095e-01	2.093817e-01	2.097575e-01
0.01	1.005310e-16	3.241846e-02	2.052679e-02	1.848527e-02
0.01	2.010619e-16	9.268608e-04	5.067645e-04	4.982134e-05
0.01	4.021239e-16	1.251615e-05	1.082343e-05	1.784496e-10
0.01	8.042477e-16	1.052787e-07	2.183524e-07	1.423793e-21
0.01	1.608495e-15	6.377538e-10	4.317378e-09	6.087495e-44
0.01	3.216991e-15	3.021324e-12	2.247266e-28	7.684602e-89
0.01	6.433982e-15	1.177877e-14	4.494533e-28	8.560859e-179
0.01	1.286796e-14	3.908446e-17	8.989066e-28	0.000000e+00
0.01	2.573593e-14	1.130224e-19	1.797813e-27	0.000000e+00
0.01	5.147185e-14	2.898104e-22	3.595626e-27	0.000000e+00
0.01	1.029437e-13	6.677440e-25	7.191252e-27	0.000000e+00
0.01	2.058874e-13	1.397018e-27	1.438250e-26	0.000000e+00
0.01	4.117748e-13	2.676600e-30	2.876501e-26	0.000000e+00
0.01	8.235497e-13	4.733459e-33	5.753002e-26	0.000000e+00
0.5	1.570796e-18	5.529187e-03	5.564701e-03	5.547159e-03
0.5	3.141593e-18	1.869367e-02	1.865921e-02	1.881388e-02
0.5	6.283185e-18	5.470343e-02	5.295804e-02	5.509386e-02
0.5	1.256637e-17	1.260898e-01	1.154253e-01	1.265310e-01
0.5	2.513274e-17	2.064475e-01	1.846330e-01	2.099902e-01
0.5	5.026548e-17	2.288613e-01	2.176284e-01	2.523261e-01
0.5	1.005310e-16	1.838144e-01	1.905640e-01	2.140536e-01
0.5	2.010619e-16	1.092589e-01	1.240298e-01	1.016597e-01
0.5	4.021239e-16	4.723811e-02	5.979302e-02	1.572242e-02
0.5	8.042477e-16	1.495180e-02	2.201868e-02	2.620469e-04
0.5	1.608495e-15	3.593350e-03	6.560757e-03	5.110611e-08
0.5	3.216991e-15	6.898959e-04	1.677953e-03	1.369643e-15
0.5	6.433982e-15	1.109081e-04	3.852925e-04	6.943792e-31
0.5	1.286796e-14	1.546745e-05	8.177253e-05	1.260895e-61
0.5	2.573593e-14	1.918082e-06	1.630367e-05	2.938582e-123
0.5	5.147185e-14	2.151748e-07	3.067452e-06	1.128355e-246
0.5	1.029437e-13	2.211104e-08	5.375279e-07	0.000000e+00
0.5	2.058874e-13	2.100892e-09	8.271752e-08	0.000000e+00
0.5	4.117748e-13	1.859312e-10	7.373703e-09	0.000000e+00
0.5	8.235497e-13	1.604103e-11	5.753002e-26	0.000000e+00
1.0	1.570796e-18	3.282011e-03	3.286607e-03	3.269048e-03
1.0	3.141593e-18	1.085575e-02	1.070430e-02	1.082148e-02
1.0	6.283185e-18	3.078117e-02	2.890401e-02	3.051166e-02
1.0	1.256637e-17	6.898669e-02	5.973148e-02	6.744497e-02
1.0	2.513274e-17	1.159212e-01	9.616309e-02	1.141734e-01
1.0	5.026548e-17	1.514791e-01	1.299354e-01	1.610446e-01
1.0	1.005310e-16	1.685444e-01	1.538397e-01	1.991280e-01
1.0	2.010619e-16	1.613248e-01	1.597803e-01	2.044259e-01
1.0	4.021239e-16	1.296898e-01	1.418776e-01	1.487653e-01
1.0	8.042477e-16	8.528929e-02	1.043382e-01	5.507367e-02
1.0	1.608495e-15	4.517389e-02	6.231452e-02	5.307274e-03
1.0	3.216991e-15	1.928766e-02	3.035821e-02	3.475367e-05
1.0	6.433982e-15	6.748597e-03	1.239398e-02	1.052304e-09
1.0	1.286796e-14	1.986435e-03	4.399445e-03	6.817217e-19
1.0	2.573593e-14	5.061038e-04	1.404848e-03	2.022430e-37
1.0	5.147185e-14	1.144187e-04	4.140227e-04	1.258392e-74
1.0	1.029437e-13	2.338915e-05	1.145799e-04	3.444675e-149
1.0	2.058874e-13	4.381041e-06	3.011420e-05	0.000000e+00
1.0	4.117748e-13	7.590482e-07	7.569630e-06	0.000000e+00
1.0	8.235497e-13	1.324418e-07	2.067179e-06	0.000000e+00
2.0	1.570796e-18	1.191851e-03	1.174311e-03	1.169374e-03
2.0	3.141593e-18	3.857688e-03	3.723051e-03	3.780410e-03
2.0	6.283185e-18	1.059637e-02	9.616580e-03	1.027038e-02
2.0	1.256637e-17	2.300467e-02	1.898511e-02	2.180278e-02
2.0	2.513274e-17	3.881995e-02	3.030147e-02	3.667713e-02
2.0	5.026548e-17	5.522881e-02	4.306171e-02	5.484003e-02
2.0	1.005310e-16	7.286761e-02	5.743166e-02	7.821858e-02
2.0	2.010619e-16	9.120214e-02	7.331242e-02	1.077728e-01
2.0	4.021239e-16	1.080991e-01	8.984477e-02	1.417948e-01
2.0	8.042477e-16	1.200082e-01	1.050624e-01	1.718768e-01
2.0	1.608495e-15	1.227875e-01	1.157276e-01	1.777188e-01
2.0	3.216991e-15	1.136278e-01	1.178556e-01	1.340345e-01
2.0	6.433982e-15	9.330859e-02	1.084863e-01	5.384595e-02
2.0	1.286796e-14	6.683352e-02	8.825710e-02	6.141210e-03
2.0	2.573593e-14	4.120905e-02	6.243211e-02	5.646930e-05
2.0	5.147185e-14	2.174229e-02	3.823311e-02	3.375593e-09
2.0	1.029437e-13	9.855319e-03	2.045370e-02	8.528610e-18
2.0	2.058874e-13	3.890807e-03	9.738786e-03	3.849494e-35
2.0	4.117748e-13	1.363620e-03	4.217749e-03	5.545382e-70
2.0	8.235497e-13	5.051363e-04	2.084424e-03	8.137071e-140
