dimless_t	mass_g	nemo_norm	dustpy_norm	exact_norm
0.01	1.570796e-18	9.426676e-03	9.498809e-03	9.500345e-03
0.01	3.141593e-18	3.307881e-02	3.353810e-02	3.355696e-02
0.01	6.283185e-18	1.020421e-01	1.045574e-01	1.046669e-01
0.01	1.256637e-17	2.445693e-01	2.542455e-01	2.545671e-01
0.01	2.513274e-17	3.617057e-01	3.761817e-01	3.764683e-01
0.01	5.026548e-17	2.205012e-01	2.060354e-01	2.058358e-01
0.01	1.005310e-16	2.840761e-02	1.588500e-02	1.538316e-02
0.01	2.010619e-16	2.683407e-04	5.806789e-05	2.148004e-05
0.01	4.021239e-16	3.242952e-07	6.956639e-08	1.047018e-11
0.01	8.042477e-16	1.085201e-10	4.167173e-11	6.219164e-25
0.01	1.608495e-15	1.249102e-14	1.248299e-14	5.485649e-52
0.01	3.216991e-15	5.478671e-19	2.247266e-28	1.066989e-106
0.01	6.433982e-15	9.720014e-24	4.494533e-28	1.009169e-216
0.01	1.286796e-14	7.254433e-29	8.989066e-28	0.000000e+00
0.01	2.573593e-14	2.341947e-34	1.797813e-27	0.000000e+00
0.01	5.147185e-14	3.339261e-40	3.595626e-27	0.000000e+00
0.01	1.029437e-13	2.834434e-46	7.191252e-27	0.000000e+00
0.01	2.058874e-13	1.394087e-46	1.438250e-26	0.000000e+00
0.01	4.117748e-13	2.788172e-46	2.876501e-26	0.000000e+00
0.01	8.235497e-13	5.576344e-46	5.753002e-26	0.000000e+00
0.5	1.570796e-18	6.099192e-03	6.250885e-03	6.286260e-03
0.5	3.141593e-18	2.195894e-02	2.226420e-02	2.275217e-02
0.5	6.283185e-18	7.170754e-02	7.146369e-02	7.451161e-02
0.5	1.256637e-17	1.904713e-01	1.891856e-01	1.997865e-01
0.5	2.513274e-17	3.365564e-01	3.436336e-01	3.590795e-01
0.5	5.026548e-17	2.843864e-01	2.895184e-01	2.899876e-01
0.5	1.005310e-16	8.123412e-02	7.175705e-02	4.728213e-02
0.5	2.010619e-16	7.359770e-03	5.747159e-03	3.142479e-04
0.5	4.021239e-16	2.237856e-04	1.770592e-04	3.470268e-09
0.5	8.042477e-16	2.485654e-06	2.319517e-06	1.057997e-19
0.5	1.608495e-15	1.081574e-08	1.363363e-08	2.458480e-41
0.5	3.216991e-15	1.931921e-11	3.709447e-11	3.318729e-85
0.5	6.433982e-15	1.462826e-14	4.741716e-14	1.511896e-173
0.5	1.286796e-14	4.805709e-18	2.810462e-17	0.000000e+00
0.5	2.573593e-14	6.970872e-22	6.920414e-21	0.000000e+00
0.5	5.147185e-14	4.525848e-26	1.943236e-25	0.000000e+00
0.5	1.029437e-13	1.329621e-30	7.191252e-27	0.000000e+00
0.5	2.058874e-13	1.783366e-35	1.438250e-26	0.000000e+00
0.5	4.117748e-13	1.100180e-40	2.876501e-26	0.000000e+00
0.5	8.235497e-13	8.717872e-46	5.753002e-26	0.000000e+00
1.0	1.570796e-18	4.233958e-03	4.441731e-03	4.435695e-03
1.0	3.141593e-18	1.551310e-02	1.591160e-02	1.632415e-02
1.0	6.283185e-18	5.267700e-02	5.202645e-02	5.527237e-02
1.0	1.256637e-17	1.503646e-01	1.451353e-01	1.584175e-01
1.0	2.513274e-17	3.016778e-01	2.995988e-01	3.253371e-01
1.0	5.026548e-17	3.185678e-01	3.306532e-01	3.430317e-01
1.0	1.005310e-16	1.348973e-01	1.327950e-01	9.534011e-02
1.0	2.010619e-16	2.089132e-02	1.845383e-02	1.841189e-03
1.0	4.021239e-16	1.153250e-03	9.633038e-04	1.716658e-07
1.0	8.042477e-16	2.367294e-05	2.060701e-05	3.730740e-16
1.0	1.608495e-15	1.915208e-07	1.910769e-07	4.405113e-34
1.0	3.216991e-15	6.378506e-10	7.956244e-10	1.535399e-70
1.0	6.433982e-15	9.015986e-13	1.523202e-12	4.663260e-144
1.0	1.286796e-14	5.530957e-16	1.362438e-15	1.075391e-291
1.0	2.573593e-14	1.497885e-19	5.750480e-19	0.000000e+00
1.0	5.147185e-14	1.814978e-23	1.148200e-22	0.000000e+00
1.0	1.029437e-13	9.946742e-28	7.191252e-27	0.000000e+00
1.0	2.058874e-13	2.487613e-32	1.438250e-26	0.000000e+00
1.0	4.117748e-13	2.860403e-37	2.876501e-26	0.000000e+00
1.0	8.235497e-13	1.522436e-42	5.753002e-26	0.000000e+00
2.0	1.570796e-18	2.391438e-03	2.617060e-03	2.545607e-03
2.0	3.141593e-18	8.952344e-03	9.441306e-03	9.565504e-03
2.0	6.283185e-18	3.189820e-02	3.155256e-02	3.376611e-02
2.0	1.256637e-17	9.968472e-02	9.344872e-02	1.051883e-01
2.0	2.513274e-17	2.356699e-01	2.232386e-01	2.551997e-01
2.0	5.026548e-17	3.314177e-01	3.388967e-01	3.755309e-01
2.0	1.005310e-16	2.215741e-01	2.338266e-01	2.032903e-01
2.0	2.010619e-16	6.160363e-02	6.086898e-02	1.489357e-02
2.0	4.021239e-16	6.539847e-03	5.880265e-03	1.998494e-05
2.0	8.042477e-16	2.638452e-04	2.255792e-04	8.996036e-12
2.0	1.608495e-15	4.228752e-06	3.650908e-06	4.557092e-25
2.0	3.216991e-15	2.814976e-08	2.593996e-08	2.923485e-52
2.0	6.433982e-15	8.036792e-11	8.310876e-11	3.007926e-107
2.0	1.286796e-14	1.007090e-13	1.223857e-13	7.960491e-218
2.0	2.573593e-14	5.635410e-17	8.401878e-17	0.000000e+00
2.0	5.147185e-14	1.426973e-20	2.718213e-20	0.000000e+00
2.0	1.029437e-13	1.652202e-24	4.147076e-24	0.000000e+00
2.0	2.058874e-13	8.820215e-29	1.438250e-26	0.000000e+00
2.0	4.117748e-13	2.185690e-33	2.876501e-26	0.000000e+00
2.0	8.235497e-13	2.528102e-38	5.753002e-26	0.000000e+00
